id,file,title,labels,milestone
1,001-foundation-define-kgm1-frame-loop-and-source-timestamps.md,[Foundation] Define KGM1 frame loop and source timestamps,"type:feature,priority:P0,area:core,protocol:kgm1",MVP-0
2,002-foundation-build-webcam-capture-controller-with-camera-selection.md,[Foundation] Build webcam capture controller with camera selection,"type:feature,priority:P0,area:capture",MVP-0
3,003-foundation-add-debug-overlay-for-landmarks-confidence-fps-warnings.md,"[Foundation] Add debug overlay for landmarks, confidence, FPS, warnings","type:feature,priority:P0,area:ui,area:debug",MVP-0
4,004-foundation-add-local-only-privacy-mode-and-camera-permission-copy.md,[Foundation] Add local-only privacy mode and camera permission copy,"type:feature,priority:P0,area:privacy,area:ui",MVP-0
5,005-foundation-add-kgm1-json-encoder-decoder-validation-tests.md,[Foundation] Add KGM1 JSON encoder/decoder validation tests,"type:test,priority:P0,protocol:kgm1,area:core",MVP-0
6,006-foundation-add-tracking-warning-taxonomy-and-ui-panel.md,[Foundation] Add tracking warning taxonomy and UI panel,"type:feature,priority:P0,area:quality,area:ui",MVP-0
7,007-foundation-add-calibration-profile-schema.md,[Foundation] Add calibration profile schema,"type:feature,priority:P1,area:calibration",MVP-1
8,008-foundation-add-benchmark-recording-toggle-without-upload.md,[Foundation] Add benchmark recording toggle without upload,"type:feature,priority:P1,area:benchmark,area:privacy",MVP-1
9,009-hand-integrate-mediapipe-hand-landmarker-adapter.md,[Hand] Integrate MediaPipe Hand Landmarker adapter,"type:feature,tracking:hand,priority:P0,area:tracking",MVP-0
10,010-hand-convert-21-hand-landmarks-into-palm-basis.md,[Hand] Convert 21 hand landmarks into palm basis,"type:feature,tracking:hand,priority:P0,area:tracking",MVP-0
11,011-hand-derive-per-finger-mcp-pip-dip-tip-chains.md,[Hand] Derive per-finger MCP/PIP/DIP/Tip chains,"type:feature,tracking:hand,priority:P0,area:tracking",MVP-0
12,012-hand-compute-finger-curl-for-thumb-index-middle-ring-pinky.md,[Hand] Compute finger curl for thumb/index/middle/ring/pinky,"type:feature,tracking:hand,priority:P0,area:tracking",MVP-0
13,013-hand-compute-finger-spread-and-abduction-values.md,[Hand] Compute finger spread and abduction values,"type:feature,tracking:hand,priority:P0,area:tracking",MVP-0
14,014-hand-compute-thumb-index-pinch-and-per-finger-pinch-distance.md,[Hand] Compute thumb-index pinch and per-finger pinch distance,"type:feature,tracking:hand,priority:P0,area:tracking",MVP-0
15,015-hand-compute-fingertip-velocity-with-timestamp-delta.md,[Hand] Compute fingertip velocity with timestamp delta,"type:feature,tracking:hand,priority:P0,area:tracking",MVP-0
16,016-hand-add-confidence-decay-for-partially-occluded-fingers.md,[Hand] Add confidence decay for partially occluded fingers,"type:feature,tracking:hand,priority:P0,area:tracking",MVP-0
17,017-hand-add-hand-left-right-swap-detector.md,[Hand] Add hand left/right swap detector,"type:feature,tracking:hand,priority:P1,area:tracking",MVP-1
18,018-hand-add-finger-contact-state-with-hysteresis.md,[Hand] Add finger contact state with hysteresis,"type:feature,tracking:hand,priority:P1,area:tracking",MVP-1
19,019-hand-add-drum-grip-gesture-detection.md,[Hand] Add drum grip gesture detection,"type:feature,tracking:hand,priority:P1,area:tracking",MVP-1
20,020-hand-add-finger-counting-gesture-states.md,[Hand] Add finger counting gesture states,"type:feature,tracking:hand,priority:P1,area:tracking",MVP-1
21,021-hand-add-hand-calibration-sequence.md,[Hand] Add hand calibration sequence,"type:feature,tracking:hand,priority:P1,area:tracking",MVP-1
22,022-hand-add-low-light-warning-for-hands.md,[Hand] Add low-light warning for hands,"type:feature,tracking:hand,priority:P1,area:tracking",MVP-1
23,023-hand-add-fast-motion-blur-warning-for-hands.md,[Hand] Add fast-motion blur warning for hands,"type:feature,tracking:hand,priority:P1,area:tracking",MVP-1
24,024-hand-add-hand-outside-frame-recovery.md,[Hand] Add hand outside frame recovery,"type:feature,tracking:hand,priority:P1,area:tracking",MVP-1
25,025-hand-add-per-finger-debug-graph.md,[Hand] Add per-finger debug graph,"type:feature,tracking:hand,priority:P1,area:tracking",MVP-1
